\begin{tabular}{llrrrrrrrr}
\toprule
group1 & group2 & meandiff_left & p-adj_left & lower_left & upper_left & meandiff_right & p-adj_right & lower_right & upper_right \\
\midrule
Scheme1_G & Scheme3a_G & -0.1460000 & 0.4635882 & -0.3532752 & 0.0612752 & -0.1310000 & 0.7748514 & -0.3606827 & 0.0986827 \\
Scheme1_G & Scheme3a_L & -0.0130000 & 1.0000000 & -0.2202752 & 0.1942752 & -0.0280000 & 0.9999999 & -0.2576827 & 0.2016827 \\
Scheme1_G & Scheme3b_G & -0.1410000 & 0.5210877 & -0.3482752 & 0.0662752 & -0.2340000 & 0.0415650 & -0.4636827 & -0.0043173 \\
Scheme1_G & Scheme3b_L & -0.2130000 & 0.0380544 & -0.4202752 & -0.0057248 & -0.1230000 & 0.8400980 & -0.3526827 & 0.1066827 \\
Scheme1_L & Scheme1b_G & 0.0320000 & 0.9999986 & -0.1752752 & 0.2392752 & 0.0620000 & 0.9994189 & -0.1676827 & 0.2916827 \\
Scheme1_L & Scheme1b_L & 0.0210000 & 1.0000000 & -0.1862752 & 0.2282752 & 0.1120000 & 0.9100245 & -0.1176827 & 0.3416827 \\
Scheme1_L & Scheme2_G & -0.2960000 & 0.0002981 & -0.5032752 & -0.0887248 & -0.3530000 & 0.0000636 & -0.5826827 & -0.1233173 \\
Scheme1_L & Scheme2_L & -0.2590000 & 0.0031100 & -0.4662752 & -0.0517248 & -0.3080000 & 0.0009660 & -0.5376827 & -0.0783173 \\
Scheme1_L & Scheme3a_G & -0.1480000 & 0.4410835 & -0.3552752 & 0.0592752 & -0.1310000 & 0.7748514 & -0.3606827 & 0.0986827 \\
Scheme1_L & Scheme3a_L & -0.0150000 & 1.0000000 & -0.2222752 & 0.1922752 & -0.0280000 & 0.9999999 & -0.2576827 & 0.2016827 \\
Scheme1_L & Scheme3b_G & -0.1430000 & 0.4979192 & -0.3502752 & 0.0642752 & -0.2340000 & 0.0415650 & -0.4636827 & -0.0043173 \\
Scheme1_L & Scheme3b_L & -0.2150000 & 0.0345156 & -0.4222752 & -0.0077248 & -0.1230000 & 0.8400980 & -0.3526827 & 0.1066827 \\
Scheme1b_G & Scheme1b_L & -0.0110000 & 1.0000000 & -0.2182752 & 0.1962752 & 0.0500000 & 0.9999377 & -0.1796827 & 0.2796827 \\
Scheme1b_G & Scheme2_G & -0.3280000 & 0.0000326 & -0.5352752 & -0.1207248 & -0.4150000 & 0.0000010 & -0.6446827 & -0.1853173 \\
Scheme1b_G & Scheme2_L & -0.2910000 & 0.0004153 & -0.4982752 & -0.0837248 & -0.3700000 & 0.0000213 & -0.5996827 & -0.1403173 \\
Scheme1b_G & Scheme3a_G & -0.1800000 & 0.1594761 & -0.3872752 & 0.0272752 & -0.1930000 & 0.1977002 & -0.4226827 & 0.0366827 \\
Scheme1b_G & Scheme3a_L & -0.0470000 & 0.9999039 & -0.2542752 & 0.1602752 & -0.0900000 & 0.9821385 & -0.3196827 & 0.1396827 \\
Scheme1b_G & Scheme3b_G & -0.1750000 & 0.1918976 & -0.3822752 & 0.0322752 & -0.2960000 & 0.0019007 & -0.5256827 & -0.0663173 \\
Scheme1b_G & Scheme3b_L & -0.2470000 & 0.0062751 & -0.4542752 & -0.0397248 & -0.1850000 & 0.2534792 & -0.4146827 & 0.0446827 \\
Scheme1b_L & Scheme2_G & -0.3170000 & 0.0000709 & -0.5242752 & -0.1097248 & -0.4650000 & 0.0000000 & -0.6946827 & -0.2353173 \\
Scheme1b_L & Scheme2_L & -0.2800000 & 0.0008478 & -0.4872752 & -0.0727248 & -0.4200000 & 0.0000007 & -0.6496827 & -0.1903173 \\
Scheme1b_L & Scheme3a_G & -0.1690000 & 0.2366995 & -0.3762752 & 0.0382752 & -0.2430000 & 0.0278856 & -0.4726827 & -0.0133173 \\
Scheme1b_L & Scheme3a_L & -0.0360000 & 0.9999947 & -0.2432752 & 0.1712752 & -0.1400000 & 0.6899089 & -0.3696827 & 0.0896827 \\
Scheme1b_L & Scheme3b_G & -0.1640000 & 0.2789693 & -0.3712752 & 0.0432752 & -0.3460000 & 0.0000988 & -0.5756827 & -0.1163173 \\
Scheme1b_L & Scheme3b_L & -0.2360000 & 0.0116052 & -0.4432752 & -0.0287248 & -0.2350000 & 0.0397986 & -0.4646827 & -0.0053173 \\
Scheme2_G & Scheme2_L & 0.0370000 & 0.9999928 & -0.1702752 & 0.2442752 & 0.0450000 & 0.9999801 & -0.1846827 & 0.2746827 \\
Scheme2_G & Scheme3a_G & 0.1480000 & 0.4410835 & -0.0592752 & 0.3552752 & 0.2220000 & 0.0686881 & -0.0076827 & 0.4516827 \\
Scheme2_G & Scheme3a_L & 0.2810000 & 0.0007953 & 0.0737248 & 0.4882752 & 0.3250000 & 0.0003569 & 0.0953173 & 0.5546827 \\
Scheme2_G & Scheme3b_G & 0.1530000 & 0.3866142 & -0.0542752 & 0.3602752 & 0.1190000 & 0.8683084 & -0.1106827 & 0.3486827 \\
Scheme2_G & Scheme3b_L & 0.0810000 & 0.9825300 & -0.1262752 & 0.2882752 & 0.2300000 & 0.0493332 & 0.0003173 & 0.4596827 \\
Scheme2_L & Scheme3a_G & 0.1110000 & 0.8401005 & -0.0962752 & 0.3182752 & 0.1770000 & 0.3184747 & -0.0526827 & 0.4066827 \\
Scheme2_L & Scheme3a_L & 0.2440000 & 0.0074416 & 0.0367248 & 0.4512752 & 0.2800000 & 0.0045178 & 0.0503173 & 0.5096827 \\
Scheme2_L & Scheme3b_G & 0.1160000 & 0.7960828 & -0.0912752 & 0.3232752 & 0.0740000 & 0.9967813 & -0.1556827 & 0.3036827 \\
Scheme2_L & Scheme3b_L & 0.0440000 & 0.9999524 & -0.1632752 & 0.2512752 & 0.1850000 & 0.2534792 & -0.0446827 & 0.4146827 \\
Scheme3a_G & Scheme3a_L & 0.1330000 & 0.6143528 & -0.0742752 & 0.3402752 & 0.1030000 & 0.9494598 & -0.1266827 & 0.3326827 \\
Scheme3a_G & Scheme3b_G & 0.0050000 & 1.0000000 & -0.2022752 & 0.2122752 & -0.1030000 & 0.9494598 & -0.3326827 & 0.1266827 \\
Scheme3a_G & Scheme3b_L & -0.0670000 & 0.9966819 & -0.2742752 & 0.1402752 & 0.0080000 & 1.0000000 & -0.2216827 & 0.2376827 \\
Scheme3a_L & Scheme3b_G & -0.1280000 & 0.6714559 & -0.3352752 & 0.0792752 & -0.2060000 & 0.1267079 & -0.4356827 & 0.0236827 \\
Scheme3a_L & Scheme3b_L & -0.2000000 & 0.0697458 & -0.4072752 & 0.0072752 & -0.0950000 & 0.9724810 & -0.3246827 & 0.1346827 \\
Scheme3b_G & Scheme3b_L & -0.0720000 & 0.9936201 & -0.2792752 & 0.1352752 & 0.1110000 & 0.9151811 & -0.1186827 & 0.3406827 \\
\bottomrule
\end{tabular}
